Variable,Grupo,Modelo,Accuracy,Precision,Recall,F1,FPR
etnia,African-American,COMPAS,0.6430868167202572,0.6263736263736264,0.7261146496815286,0.672566371681416,0.44155844155844154
etnia,African-American,Logística,0.6752411575562701,0.6772151898734177,0.6815286624203821,0.6793650793650794,0.33116883116883117
etnia,Asian,COMPAS,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0
etnia,Asian,Logística,0.6666666666666666,1.0,0.3333333333333333,0.5,0.0
etnia,Caucasian,COMPAS,0.6717687074829932,0.5678391959798995,0.5136363636363637,0.5393794749403341,0.23369565217391305
etnia,Caucasian,Logística,0.6751700680272109,0.5960264900662252,0.4090909090909091,0.48517520215633425,0.16576086956521738
etnia,Hispanic,COMPAS,0.6369047619047619,0.6122448979591837,0.4166666666666667,0.49586776859504134,0.19791666666666666
etnia,Hispanic,Logística,0.6190476190476191,0.5833333333333334,0.3888888888888889,0.4666666666666667,0.20833333333333334
etnia,Native American,COMPAS,0.8,0.6666666666666666,1.0,0.8,0.3333333333333333
etnia,Native American,Logística,0.8,1.0,0.5,0.6666666666666666,0.0
etnia,Other,COMPAS,0.6730769230769231,0.7391304347826086,0.37777777777777777,0.5,0.1016949152542373
etnia,Other,Logística,0.75,0.9523809523809523,0.4444444444444444,0.6060606060606061,0.01694915254237288
genero,Female,COMPAS,0.6420765027322405,0.5,0.5572519083969466,0.5270758122743683,0.31063829787234043
genero,Female,Logística,0.7158469945355191,0.6421052631578947,0.46564885496183206,0.5398230088495575,0.14468085106382977
genero,Male,COMPAS,0.6571627260083449,0.64,0.6334310850439883,0.636698599852616,0.32142857142857145
genero,Male,Logística,0.6641168289290682,0.6655574043261231,0.5865102639296188,0.6235385814497272,0.26587301587301587
rango_edad,25 - 45,COMPAS,0.660594439117929,0.6308316430020284,0.6438923395445134,0.6372950819672131,0.325
rango_edad,25 - 45,Logística,0.6788111217641419,0.7228915662650602,0.4968944099378882,0.588957055214724,0.16428571428571428
rango_edad,Greater than 45,COMPAS,0.6727748691099477,0.45121951219512196,0.3162393162393162,0.37185929648241206,0.16981132075471697
rango_edad,Greater than 45,Logística,0.7198952879581152,0.5806451612903226,0.3076923076923077,0.4022346368715084,0.09811320754716982
rango_edad,Less than 25,COMPAS,0.6174142480211082,0.6382113821138211,0.7370892018779343,0.6840958605664488,0.536144578313253
rango_edad,Less than 25,Logística,0.6174142480211082,0.6125827814569537,0.8685446009389671,0.7184466019417476,0.7048192771084337
